ID_Incendio,Real_Operacionais_Man,Previsto_Operacionais_Man,Erro_Operacionais_Man,Real_Meios_Terrestres,Previsto_Meios_Terrestres,Erro_Meios_Terrestres,Real_Meios_Aereos,Previsto_Meios_Aereos,Erro_Meios_Aereos
2019040018292,18,9,-9,3,3,0,1,0,-1
2020030044653,2,5,3,1,2,1,0,0,0
20230913989,2,5,3,1,2,1,0,0,0
20230360206,4,5,1,1,1,0,0,0,0
2020150058850,11,4,-7,6,2,-4,0,0,0
2020040020947,12,6,-6,3,2,-1,0,0,0
2022010082753,9,6,-3,3,2,-1,0,0,0
2019130082964,5,4,-1,1,1,0,0,0,0
20240814371,7,5,-2,2,1,-1,0,0,0
20241154535,2,4,2,1,2,1,0,0,0
2019180020345,19,6,-13,6,2,-4,0,0,0
20250899025,7,5,-2,2,2,0,0,0,0
2021150044218,5,6,1,1,2,1,0,0,0
2021030056461,7,5,-2,3,1,-2,0,0,0
20240744666,9,6,-3,3,2,-1,0,0,0
2021150071461,13,6,-7,3,2,-1,0,0,0
2019010083963,2,7,5,1,2,1,0,0,0
20230676290,13,6,-7,4,2,-2,0,0,0
2020050023441,5,5,0,1,2,1,0,0,0
2022170033582,5,7,2,1,2,1,0,0,0
20230200430,2,5,3,1,1,0,0,0,0
2019080044566,2,4,2,3,2,-1,0,0,0
2021150058450,11,6,-5,3,2,-1,0,0,0
2022050015329,4,7,3,2,2,0,0,0,0
2019100034319,19,6,-13,5,2,-3,0,0,0
2022030076815,10,5,-5,3,1,-2,0,0,0
2020170023522,5,6,1,1,2,1,0,0,0
2020150069044,1,6,5,1,2,1,0,0,0
2022120011926,2,6,4,1,2,1,0,0,0
2021110188578,5,5,0,1,2,1,0,0,0
20230547280,14,5,-9,4,2,-2,0,0,0
2019010069330,17,6,-11,4,2,-2,0,0,0
2021170007579,5,6,1,1,1,0,0,0,0
20251291329,5,5,0,1,2,1,0,0,0
2020030055054,5,5,0,1,2,1,0,0,0
2021160006796,5,5,0,2,2,0,0,0,0
20240822525,5,5,0,1,1,0,0,0,0
2021170007394,5,5,0,1,1,0,0,0,0
20230571631,2,7,5,1,2,1,0,0,0
